fastq_file	fastq_short_name	seq_round	flowcell	sample_id	plate	well	lane	read	aligned
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B03_S15_L002_R1_001.fastq.gz	HD01_02_B03_S15_L002_R1_001	HD01	1	HD01_02_B03	02	B03	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B03_S15_L002_R2_001.fastq.gz	HD01_02_B03_S15_L002_R2_001	HD01	1	HD01_02_B03	02	B03	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B04_S112_L001_R1_001.fastq.gz	HD01_02_B04_S112_L001_R1_001	HD01	1	HD01_02_B04	02	B04	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B04_S112_L001_R2_001.fastq.gz	HD01_02_B04_S112_L001_R2_001	HD01	1	HD01_02_B04	02	B04	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B04_S112_L002_R1_001.fastq.gz	HD01_02_B04_S112_L002_R1_001	HD01	1	HD01_02_B04	02	B04	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B04_S112_L002_R2_001.fastq.gz	HD01_02_B04_S112_L002_R2_001	HD01	1	HD01_02_B04	02	B04	L002	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B05_S17_L001_R1_001.fastq.gz	HD01_02_B05_S17_L001_R1_001	HD01	1	HD01_02_B05	02	B05	L001	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B05_S17_L001_R2_001.fastq.gz	HD01_02_B05_S17_L001_R2_001	HD01	1	HD01_02_B05	02	B05	L001	R2	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B05_S17_L002_R1_001.fastq.gz	HD01_02_B05_S17_L002_R1_001	HD01	1	HD01_02_B05	02	B05	L002	R1	FALSE
~/work/seq/shared/Chakravarti_HD/data/fastqs/HD01_02_B05_S17_L002_R2_001.fastq.gz	HD01_02_B05_S17_L002_R2_001	HD01	1	HD01_02_B05	02	B05	L002	R2	FALSE
